"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"23","@_afrosnake @suziproibida kkkkk me tire do bolo nega, va",FALSE,0,"_afrosnake",2020-10-02 21:12:35,FALSE,"1312135320440193024","1312138434564112390","1237855356476223494","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","totaldesordem",0,FALSE,FALSE,NA,NA
"24","Eu, @totaldesordem, @suziproibida e Boxu conversando. https://t.co/dhX5akmKSe",FALSE,2,NA,2020-10-02 21:00:13,FALSE,NA,"1312135320440193024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_afrosnake",0,FALSE,FALSE,NA,NA
"25","@suziproibida Cd o que maluca",FALSE,0,"suziproibida",2020-10-02 16:48:31,FALSE,"1312071720715661312","1312071977868365825","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josecar1osneto",0,FALSE,FALSE,NA,NA
"26","So lembro de minha amada prima @suziproibida https://t.co/ZBUVJPC42G",FALSE,2,NA,2020-10-02 16:31:18,FALSE,NA,"1312067647215988740",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josecar1osneto",0,FALSE,FALSE,NA,NA
"27","@suziproibida Raaaaapaz, muita coisaaaa",FALSE,0,"suziproibida",2020-10-02 15:58:29,FALSE,"1312057521465692162","1312059385712119811","364388406","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eduardaagda",0,FALSE,FALSE,NA,NA
"28","@suziproibida *sem",FALSE,0,"caiobotelho",2020-10-01 16:27:01,FALSE,"1311665444382629891","1311704181141655552","53588786","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","caiobotelho",0,FALSE,FALSE,NA,NA
"29","@suziproibida kkkkk mas no final das contas eu nao consigo viver em o Bahea",FALSE,1,"suziproibida",2020-10-01 13:53:06,FALSE,"1311659398129872897","1311665444382629891","364388406","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","caiobotelho",0,FALSE,FALSE,NA,NA
"30","@suziproibida @eusourafao Distribuindo os cus assim kkkkk",FALSE,1,"suziproibida",2020-10-01 02:43:17,FALSE,"1311493286369144832","1311496879977508869","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ianacedrazz",0,FALSE,FALSE,NA,NA
"31","RT @suziproibida: DANIELZINHO ENTRE NA MINHA CASA E COMA O CU DA MINHA FAMILIA",FALSE,0,NA,2020-10-01 02:39:15,FALSE,NA,"1311495867434766339",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dimota17",2,TRUE,FALSE,NA,NA
"32","@suziproibida Que isso, cara",FALSE,1,"suziproibida",2020-10-01 02:38:31,FALSE,"1311493286369144832","1311495682679857152","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_afrosnake",0,FALSE,FALSE,NA,NA
"33","@suziproibida Nao mesmooooo",FALSE,1,"suziproibida",2020-10-01 02:38:09,FALSE,"1311488212007874560","1311495589209792513","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_afrosnake",0,FALSE,FALSE,NA,NA
"34","RT @suziproibida: DANIELZINHO ENTRE NA MINHA CASA E COMA O CU DA MINHA FAMILIA",FALSE,0,NA,2020-10-01 02:33:29,FALSE,NA,"1311494412770455555",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","eusourafao",2,TRUE,FALSE,NA,NA
"35","@suziproibida eu fico besta com isso! qual a duvida num lance claro desses?",FALSE,1,"suziproibida",2020-10-01 02:25:00,FALSE,"1311492099448152069","1311492278326824962","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oxentenat",0,FALSE,FALSE,NA,NA
"36","@suziproibida PSEEEE",FALSE,1,"suziproibida",2020-10-01 02:01:21,FALSE,"1311486195436838913","1311486326370336768","364388406","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariaatriunfoo",0,FALSE,FALSE,NA,NA
"37","@suziproibida Marta golpista nao vai segurar o hawk !!!",FALSE,1,"suziproibida",2020-10-01 01:48:04,FALSE,"1311482411440627713","1311482984881684480","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaun_vr",0,FALSE,FALSE,NA,NA
"38","RT @suziproibida: TODO MUNDO TEM Q AJUDAR AI",FALSE,0,NA,2020-10-01 01:47:36,FALSE,NA,"1311482867030130691",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaun_vr",1,TRUE,FALSE,NA,NA
"39","@suziproibida Kkkkkkkkkkkkk o prato principal da minha festa",FALSE,0,"suziproibida",2020-09-30 15:18:56,FALSE,"1311315896296787971","1311324659858759680","364388406","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilesena",0,FALSE,FALSE,NA,NA
"40","@suziproibida a pessoa nem me responde mas vem aqui me escaldar kkkkk isso e amor minha amiga",FALSE,0,"suziproibida",2020-09-30 01:23:40,FALSE,"1311112158374174722","1311114457209331714","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","totaldesordem",0,FALSE,FALSE,NA,NA
"41","@suziproibida Bora amg",FALSE,1,"suziproibida",2020-09-29 22:19:33,FALSE,"1311067773381079041","1311068122355556353","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Onofrx",0,FALSE,FALSE,NA,NA
